id,kind,obligation,quote,why_actionable,status,topic,source_id,doc,conflict_note
financial-data-classification-guide-2026-0-procedure,procedure,境内从事金融信息服务的金融信息服务提供者应按《金融信息服务数据分类分级指南》(国信办通字〔2026〕2号)开展数据分类分级和重要数据识别。,国信办通字〔2026〕2号,"合规官需将该文号登记进法规台账,并把该指南作为金融信息服务条线数据分类分级的直接依据文件;文号是后续报送、检查应对时的引用凭据。",in_force,financial,financial-data-classification-guide-2026-06-13,07-金融信息服务数据分类分级.md,
financial-data-classification-guide-2026-0-procedure-2,procedure,"适用主体范围限定为在中华人民共和国境内从事金融信息服务的金融信息服务提供者,应开展数据分类分级和重要数据识别工作。",适用于在中华人民共和国境内从事金融信息服务的金融信息服务提供者开展数据分类分级和重要数据识别工作,"合规官先做适用性判定:是否属于《金融信息服务管理规定》口径下的境内金融信息服务提供者;判定为是则立项分类分级+重要数据识别,判定为否则留存不适用说明。",in_force,financial,financial-data-classification-guide-2026-06-13-2,07-金融信息服务数据分类分级.md,
financial-data-classification-guide-2026-0-procedure-3,procedure,"分级采用四级制:核心数据、重要数据、敏感一般数据、常规一般数据,应按此四档对全部数据定级。",将数据从高到低分为四级，分别为核心数据、重要数据、敏感一般数据、常规一般数据,"合规官需把内部数据分级模型改造为四档(不能只用核心/重要/一般三档),并为新增的""敏感一般数据""设定单独的保护基线与权限策略。",in_force,financial,financial-data-classification-guide-2026-06-13-2,07-金融信息服务数据分类分级.md,
financial-data-classification-guide-2026-0-filing,filing,"分类分级流程应完成六步,其中包含形成数据分类分级清单并向主管部门报送重要数据目录、并做动态更新管理。",数据资源梳理、数据分类、数据分级、形成数据分类分级清单、报送重要数据目录、动态更新管理,"合规官据此排定六个交付物,重点是产出可提交的数据分类分级清单与重要数据目录并建立定期复核更新机制(报送为明确义务动作,非可选)。",in_force,audit,financial-data-classification-guide-2026-06-13-2,07-金融信息服务数据分类分级.md,
financial-data-classification-guide-2026-0-procedure-4,procedure,"分级规则须参照国家标准 GB/T 43697-2024《数据安全技术 数据分类分级规则》执行,该指南是其在金融信息服务领域的细化。",参照国家标准GB/T 43697-2024《数据安全技术 数据分类分级规则》,"合规官需以 GB/T 43697-2024 为上位通用规则、以本指南为行业特殊规则做叠加映射,已按通用标准定级的存量数据要做一次行业口径复核。",in_force,financial,financial-data-classification-guide-2026-06-13-2,07-金融信息服务数据分类分级.md,
financial-data-classification-guide-2026-0-procedure-5,procedure,分类采用三层结构:一级3类(业务数据/用户数据/企业数据)、二级9类、三级67类。,一级分类为业务数据、用户数据和企业数据3类，在此基础上进一步细分二级分类9类、三级分类67类,"合规官需按 3/9/67 的固定层级搭建数据资产目录字段,盘点结果必须能落到 67 个三级类目上,数量对不上即说明盘点有缺口。",in_force,financial,financial-data-classification-guide-2026-06-13-2,07-金融信息服务数据分类分级.md,
financial-data-classification-guide-2026-0-procedure-6,procedure,"指南附录A给出67类三级数据的描述、示例及各类数据分级的参考最低级别,定级时应逐类比对该参考最低级别。",《指南》附录A给出了金融信息服务数据第三级分类67类数据的数据描述和示例，以及数据分级的参考最低级别,"合规官定级时须逐类比对附录A的参考最低级别,任何低于参考值的定级都要书面说明理由,否则视为定级不合规。",in_force,financial,financial-data-classification-guide-2026-06-13-2,07-金融信息服务数据分类分级.md,"归档原文仅给出「参考最低级别」,未规定低于参考值的处理方式或后果;不得推断为「否则不合规」。"
financial-data-classification-guide-2026-0-exemption,exemption,涉及国家秘密的数据和军事数据不适用本指南(范围豁免)。,《指南》不适用于涉及国家秘密的数据和军事数据。,"合规官需在盘点范围说明中显式排除涉密数据与军事数据,改走保密/军工专门制度,避免用本指南口径错误处理涉密数据。",in_force,financial,financial-data-classification-guide-2026-06-13-2,07-金融信息服务数据分类分级.md,
financial-data-classification-guide-2026-0-filing-2,filing,应配合主管部门开展金融信息服务领域重要数据的识别、申报和认定工作。,组织开展金融信息服务领域重要数据识别、申报和认定工作,"合规官需预置重要数据申报材料与对口窗口(网信+人民银行等),在监管组织申报时能按期提交,而不是临时补做识别。",in_force,financial,financial-data-classification-guide-2026-06-13-2,07-金融信息服务数据分类分级.md,
financial-data-classification-guide-2026-0-procedure-7,procedure,"对经济运行、社会稳定、公共利益有一定影响,或对组织自身或公民个体造成重要影响的数据,应划入""敏感一般数据""档。",对经济运行、社会稳定、公共利益有一定影响，或者对组织自身或者公民个体造成重要影响的数据，划分为敏感一般数据,"合规官据此判定门槛把原本笼统归为""一般数据""的资产上提到敏感一般数据,并相应提高访问控制、加密与出境审查要求。",in_force,financial,financial-data-classification-guide-2026-06-13-2,07-金融信息服务数据分类分级.md,
financial-data-classification-guide-2026-0-procedure-8,procedure,"该指南由六部门(国家网信办、人民银行、金融监管总局、证监会、国家统计局、国家外汇管理局)联合制定,合规对接与检查应对需覆盖六个条线。",国家互联网信息办公室、中国人民银行、国家金融监督管理总局、中国证券监督管理委员会、国家统计局、国家外汇管理局制定了《金融信息服务数据分类分级指南》。,"合规官需明确多头监管对口关系(不止网信办),报送与问询可能来自六个部门任一,内部责任矩阵要相应拆分。",in_force,financial,financial-data-classification-guide-2026-06-13,07-金融信息服务数据分类分级.md,
financial-data-classification-guide-2026-0-definition,definition,"适用范围口径须与《金融信息服务管理规定》衔接,即按该规定对""金融信息服务""的定义判断自身是否落入监管范围。",《指南》衔接《金融信息服务管理规定》,"合规官须回到《金融信息服务管理规定》原文核对定义再做适用性结论;归档文本仅给出发文日期2026年6月8日与印发通知,未载明独立施行日期,生效时点需另行核实,不得对外声称具体施行日。",unclear,financial,financial-data-classification-guide-2026-06-13-2,07-金融信息服务数据分类分级.md,
face-recognition-filing-2025-05-30-deadline,deadline,自2025年6月1日起，人脸信息存储数量达到10万人的个人信息处理者，须自数量达到之日起30个工作日内向所在地省级以上网信部门履行备案手续。,应用人脸识别技术处理的人脸信息存储数量达到10万人的，应当自数量达到之日起30个工作日内履行备案手续。,合规官需对人脸库规模设10万人监控阈值，触发即启动30个工作日倒计时并向省级网信部门备案,in_force,biometrics,face-recognition-filing-2025-05-30,05-生成式AI与新兴技术合规.md,"《人脸识别技术应用安全管理办法》第十五条为「省级以上网信部门」;备案工作公告原文未写层级,故以办法条文为准。"
face-recognition-filing-2025-05-30-deadline-2,deadline,2025年6月1日前人脸信息存储量已达10万人的存量主体，必须在2025年7月14日前完成备案。,2025年6月1日前，应用人脸识别技术处理的人脸信息存储数量已经达到10万人的，应当在2025年7月14日前履行备案手续。,存量业务不能按“达到之日起30个工作日”计算，需核查该固定截止日是否已逾期并补办,in_force,biometrics,face-recognition-filing-2025-05-30,05-生成式AI与新兴技术合规.md,
face-recognition-filing-2025-05-30-deadline-3,deadline,备案信息发生实质性变更的，应在变更之日起30个工作日内办理备案变更手续。,备案信息发生实质性变更的，应当在变更之日起30个工作日内办理备案变更手续。,人脸系统用途、存储量级、责任人等变更需纳入变更管理流程，30个工作日内报变更,in_force,biometrics,face-recognition-filing-2025-05-30,05-生成式AI与新兴技术合规.md,
face-recognition-filing-2025-05-30-filing,filing,人脸识别技术应用备案只走线上渠道，通过“个人信息保护业务系统”（https://grxxbh.cacdtsc.cn）提交。,人脸识别技术应用备案采用线上方式。请直接访问“个人信息保护业务系统”（https://grxxbh.cacdtsc.cn）,明确唯一申报入口与填报说明来源，避免向地方线下窗口递交而错过时限,in_force,biometrics,face-recognition-filing-2025-05-30,05-生成式AI与新兴技术合规.md,
pi-policy-qa-2026-04-29-threshold,threshold,处理超过1000万人个人信息的处理者，必须每两年至少开展一次个人信息保护合规审计。,处理超过1000万人个人信息的个人信息处理者，应当每两年至少开展一次个人信息保护合规审计。,以当前在处理（不含已删除）的自然人数是否超1000万来决定审计周期，并排入两年一次的审计计划,in_force,audit,pi-policy-qa-2026-04-29,06-数据分类分级与合规审计.md,
pi-policy-qa-2026-04-29-procedure,procedure,涉及个人信息数量的门槛均包含本数，按当前处理的自然人数量统计，已删除的个人信息不计入。,均包含本数，按照个人信息处理者当前处理个人信息涉及的自然人数量进行统计，统计中不包括已经删除的个人信息。,给出统一计数口径：可将已删除数据剔除后重算人数，判断是否落入100万/1000万等各类门槛,in_force,general,pi-policy-qa-2026-04-29,06-数据分类分级与合规审计.md,
pi-policy-qa-2026-04-29-procedure-2,procedure,处理未成年人个人信息的，须自行或委托专业机构每年开展一次合规审计并将审计情况及时报告网信等部门；无论是否识别未成年人身份均适用。,个人信息处理者应当自行或者委托专业机构每年对其处理未成年人个人信息遵守法律、行政法规的情况进行合规审计，并将审计情况及时报告网信等部门。,不能以“我们不识别未成年人身份”豁免，必须建立年度未成年人审计+报送网信部门的固定动作,in_force,audit,pi-policy-qa-2026-04-29,06-数据分类分级与合规审计.md,
pi-policy-qa-2026-01-09-threshold,threshold,处理100万人以上个人信息的处理者应当指定个人信息保护负责人。,处理100万人以上个人信息的个人信息处理者应当指定个人信息保护负责人,跨过100万人门槛即须任命DPO并明确其负责合规审计工作职责,in_force,audit,pi-policy-qa-2026-01-09,06-数据分类分级与合规审计.md,
pi-policy-qa-2026-01-09-filing,filing,个人信息保护负责人信息报送采用线上方式，通过“个人信息保护业务系统”（https://grxxbh.cacdtsc.cn）按填报说明提交。,个人信息保护负责人信息报送采用线上方式。可直接访问“个人信息保护业务系统”（https://grxxbh.cacdtsc.cn）,任命DPO后还需在指定线上系统完成信息报送，入口与人脸备案同一系统,in_force,audit,pi-policy-qa-2026-01-09,06-数据分类分级与合规审计.md,
cross-border-policy-qa-2026-07-24-deadline,deadline,数据出境安全评估结果有效期3年，需继续出境的应在有效期届满前60个工作日内通过省级网信部门申请延长。,数据处理者可以在有效期届满前60个工作日内通过所在地省级网信部门向国家网信部门提出延长评估结果有效期申请,按评估结果出具日+3年设台账，并在到期前60个工作日的窗口内递交延期申请，否则须重新申报,in_force,cross_border,cross-border-policy-qa-2026-07-24,04-数据跨境专题.md,
cross-border-policy-qa-2026-07-24-procedure,procedure,申请延长出境评估有效期须同时满足多项条件，其中未来三年出境自然人数量增幅不得超过原评估准予量的20%。,未来三年涉及自然人数量增幅不超过原评估结果准予过去三年出境数量的20%,延期前先测算未来三年出境人数/数据规模增幅是否超20%，超出则应重新申报而非申请延期,in_force,cross_border,cross-border-policy-qa-2026-07-24,04-数据跨境专题.md,
cross-border-policy-qa-2025-05-30-deadline,deadline,被告知或公开发布掌握重要数据后需继续出境的，应在被告知或公开发布后2个月内通过省级网信部门申报数据出境安全评估；未被告知或公开发布为重要数据的则无需按重要数据申报，也不会因此受行政处罚。,应当在被告知或者公开发布后2个月内，通过所在地省级网信部门向国家网信部门申报数据出境安全评估。,收到重要数据告知函即启动2个月申报倒计时；未被告知前可不按重要数据申报，避免过度合规,in_force,cross_border,cross-border-policy-qa-2025-05-30,04-数据跨境专题.md,
